,region_name,state_name,count_qualified_17,percent_covered_17,percent_qualified_17,existing_installs_count_17,count_qualified_21,percent_covered_21,percent_qualified_21,existing_installs_count_21,CtySt,TotalPop,IncomePerCap,StCtyID,land_area_sqmi,Pct_hmowner,Pct_hmowner_imp,PopDens,pct_install_17,pct_install_21,chg_pct_install,chg_pct_covered,chg_qualified,chg_qualified_pct
51,Bronx County,New York,45749,85.92426593116129,61.188759746947206,128,59569.0,85.61961414063738,78.6804913485669,125.0,"Bronx, New York",1455846,19721,36005,42.1,18.9,18.9,34580.66508313539,0.27978753633959214,0.20984068894894994,-0.06994684739064219,-0.3046517905239057,13820.0,30.208310564165338
52,Broomfield County,Colorado,17252,99.913476097772,93.37518943494258,682,18176.0,93.89612348534365,97.32797858099065,685.0,"Broomfield, Colorado",64283,43736,08014,33.03,62.8,62.8,1946.2004238570996,3.9531648504521213,3.768705985915493,-0.1844588645366283,-6.017352612428354,924.0,5.3559007651286805
53,Buchanan County,Missouri,23980,96.5148308156224,72.04013578874641,17,27354.0,94.27143298419027,81.4810401834917,17.0,"Buchanan, Missouri",89425,24271,29021,408.03,57.1,57.1,219.16280665637333,0.07089241034195162,0.06214813190027053,-0.008744278441681096,-2.2433978314321337,3374.0,14.070058381984987
54,Bucks County,Pennsylvania,120902,68.3815673448821,82.489237004237,688,131402.0,67.13757087966208,86.83946178857491,688.0,"Bucks, Pennsylvania",626486,41924,42017,604.31,77.1,77.1,1036.6963975443068,0.569055929595871,0.523584115919088,-0.04547181367678299,-1.2439964652200217,10500.0,8.684719855750938
55,Buncombe County,North Carolina,29834,64.5368181110277,65.4498387556765,325,36304.0,65.50042651795832,70.56719667223885,325.0,"Buncombe, North Carolina",252268,29590,37021,656.67,62.1,62.1,384.1625169415384,1.0893611315948246,0.8952181577787571,-0.1941429738160675,0.9636084069306179,6470.0,21.68666621974928
56,Burleigh County,North Dakota,21394,98.1556578023863,84.9878838438009,4,23053.0,70.23330651649236,88.0221458571974,4.0,"Burleigh, North Dakota",92372,36483,38015,1632.65,70.2,70.2,56.57795608366765,0.018696830887164624,0.017351320869301176,-0.001345510017863448,-27.92235128589394,1659.0,7.754510610451528
57,Butler County,Ohio,80651,64.6295716323903,86.84944488116899,104,108098.0,81.6162940857661,88.6208988506124,104.0,"Butler, Ohio",375702,29745,39017,467.06,67.8,67.8,804.3977219200959,0.12895066397192842,0.09620899554108309,-0.03274166843084533,16.986722453375805,27447.0,34.03181609651461
58,Butte County,California,42035,72.57466487389479,78.66419642188791,3291,45356.0,54.489737033241475,82.81780666837089,3286.0,"Butte, California",225207,26304,06007,1636.46,59.1,59.1,137.61839580558035,7.829189960746996,7.244906958285563,-0.5842830024614329,-18.084927840653314,3321.0,7.900559057927917
59,Cabarrus County,North Carolina,35156,64.1643758370339,77.2404701746677,78,38588.0,54.097113345015224,82.23159868729489,76.0,"Cabarrus, North Carolina",196716,29143,37025,361.75,73.8,73.8,543.7899101589495,0.2218682443964046,0.19695242044158806,-0.024915823954816535,-10.067262492018678,3432.0,9.762202753441802
60,Cabell County,West Virginia,11279,66.6012793176972,72.2179536432322,20,18123.0,77.22617056856188,81.75666531330357,20.0,"Cabell, West Virginia",96100,24646,54011,281.02,58.7,58.7,341.9685431641876,0.17732068445784202,0.11035700491088672,-0.0669636795469553,10.624891250864678,6844.0,60.679138221473536
61,Cache County,Utah,16028,86.4501139751008,81.27376907864709,22,19274.0,52.81851621841112,87.16139827250939,22.0,"Cache, Utah",120288,21752,49005,1164.81,63.3,63.3,103.26834419347362,0.13725979535812327,0.1141434056241569,-0.023116389733966375,-33.631597756689686,3246.0,20.25205889693037
62,Caddo Parish,Louisiana,61839,88.6461750132102,69.5500095599069,327,65877.0,84.54055573778173,73.02708155505549,327.0,"Caddo, Louisiana",251069,25565,22017,878.54,63.4,63.4,285.7798165137615,0.5287925095813322,0.49637961655813106,-0.032412893023201106,-4.105619275428467,4038.0,6.52985979721535
63,Calcasieu Parish,Louisiana,29590,88.0472350230415,80.6618689346854,69,43702.0,53.68838867470878,84.35865263970659,69.0,"Calcasieu, Louisiana",198753,26569,22019,1063.66,65.9,65.9,186.85764247973975,0.2331868874619804,0.15788751086906777,-0.07529937659291264,-34.35884634833271,14112.0,47.69178776613721
64,Callahan County,Texas,2688,81.7628439250061,80.0476474091721,3,3278.0,54.445229681978795,85.09865005192108,3.0,"Callahan, Texas",13660,22205,48059,899.37,,65.1,15.188409664542958,0.11160714285714286,0.09151921903599756,-0.020087923821145298,-27.3176142430273,590.0,21.949404761904763
65,Camden County,New Jersey,90904,89.5836311540111,63.069963644436996,1748,114412.0,95.62428856439944,73.22274274889281,1747.0,"Camden, New Jersey",510996,32931,34007,221.26,67.6,67.6,2309.4820573081442,1.9229076828302385,1.5269377338041463,-0.39596994902609217,6.040657410388334,23508.0,25.860248173897737
66,Campbell County,Kentucky,24990,92.07917980176649,77.0772931959781,45,27564.0,88.30788424507065,84.65601965601967,45.0,"Campbell, Kentucky",91804,31065,21037,151.31,71.7,71.7,606.7279095895843,0.18007202881152462,0.1632564214192425,-0.016815607392282134,-3.771295556695833,2574.0,10.300120048019208
67,Canadian County,Oklahoma,35256,77.16274726207659,96.9743646165695,44,36157.0,62.43789892049379,97.5239379635873,44.0,"Canadian, Oklahoma",132922,29852,40017,896.63,73.9,73.9,148.24621081159452,0.12480145223508056,0.12169151201703682,-0.0031099402180437413,-14.724848341582806,901.0,2.555593374177445
68,Canyon County,Idaho,50156,84.2598568411171,87.3113412829663,112,53481.0,66.44833593520215,91.04853674730587,111.0,"Canyon, Idaho",207027,19765,16027,587.37,72.3,72.3,352.4643750957659,0.22330329372358243,0.2075503449823302,-0.015752948741252243,-17.811520905914946,3325.0,6.629316532418853
69,Carter County,Tennessee,4769,53.707215750022606,80.19169329073479,2,8982.0,76.73564517268169,82.66912103083295,2.0,"Carter, Tennessee",56500,21001,47019,341.2,,65.1,165.59202813599063,0.04193751310547285,0.0222667557336896,-0.019670757371783247,23.02842942265908,4213.0,88.34137135667855
